Unnamed: 0,play_name,genre,character,act,scene,sentence,text,sex
7544,The Comedy of Errors,Comedy,Dromio Of Syracuse,5,1,438,ANTIPHOLUS,male
7545,The Comedy of Errors,Comedy,Of Ephesus,5,1,439,"Dromio, what stuff of mine hast thou embark'd?",male
7546,The Comedy of Errors,Comedy,Dromio Of Syracuse,5,1,440,"Your goods that lay at host, sir, in the Centaur.",male
7547,The Comedy of Errors,Comedy,Dromio Of Syracuse,5,1,441,ANTIPHOLUS,male
7548,The Comedy of Errors,Comedy,Of Syracuse,5,1,442,"He speaks to me. I am your master, Dromio:",male
7549,The Comedy of Errors,Comedy,Of Syracuse,5,1,443,"Come, go with us; we'll look to that anon:",male
7550,The Comedy of Errors,Comedy,Of Syracuse,5,1,444,Embrace thy brother there; rejoice with him.,male
7551,The Comedy of Errors,Comedy,Dromio Of Syracuse,5,1,445,"There is a fat friend at your master's house,",male
7552,The Comedy of Errors,Comedy,Dromio Of Syracuse,5,1,446,That kitchen'd me for you to-day at dinner:,male
7553,The Comedy of Errors,Comedy,Dromio Of Syracuse,5,1,447,"She now shall be my sister, not my wife.",male
7554,The Comedy of Errors,Comedy,Dromio Of Ephesus,5,1,448,"Methinks you are my glass, and not my brother:",male
7555,The Comedy of Errors,Comedy,Dromio Of Ephesus,5,1,449,I see by you I am a sweet-faced youth.,male
7556,The Comedy of Errors,Comedy,Dromio Of Ephesus,5,1,450,Will you walk in to see their gossiping?,male
7557,The Comedy of Errors,Comedy,Dromio Of Syracuse,5,1,451,"Not I, sir; you are my elder.",male
7558,The Comedy of Errors,Comedy,Dromio Of Ephesus,5,1,452,That's a question: how shall we try it?,male
7559,The Comedy of Errors,Comedy,Dromio Of Syracuse,5,1,453,We'll draw cuts for the senior: till then lead thou first.,male
7560,The Comedy of Errors,Comedy,Dromio Of Ephesus,5,1,454,"Nay, then, thus:",male
7561,The Comedy of Errors,Comedy,Dromio Of Ephesus,5,1,455,We came into the world like brother and brother;,male
7562,The Comedy of Errors,Comedy,Dromio Of Ephesus,5,1,456,"And now let's go hand in hand, not one before another.",male
